style;color;name;image_url;description;season
EQWX303144;WEG6;COBIDJI TOP (WEG6);;"__Fabric:__ Butter base recycled nylon elastane [170 g/m2]
__Lining:__ Polyester elastane blend lining
__Fit:__ Brassiere fit
Removable soft cup padding
Adjustable back closure [3 sizes] 
All-over printed design
Quiksilver clamp label on chest

";261
EQWX403138;KVJ6;VIACHA BOTTOM (KVJ6);;"__Fabric:__ Butter base recycled nylon elastane [170 g/m2]
__Lining:__ Polyester elastane blend lining
__Fit:__ Cheeky coverage
Small bottom Coverage
All-over print one side
Solid on reverse side
Logo embroidery on left hip

";261
EQWX303146;KVJ6;VIACHA TOP (KVJ6);;"__Fabric:__ Butter base recycled nylon elastane [170 g/m2]
__Lining:__ Polyester elastane blend lining
__Fit:__ Mini bra top fit
Reversible top
Non removable Soft Cup padding
Non-adjustable shoulder straps
Front cup dart for bust fitting
All-over print one side
Solid on reverse side
Logo embroidery at middle back

";261
EQWX103079;GCC6;AITON ONE PIECE (GCC6);;"__Fabric:__ Recycled nylon elastane [170 g/m2]
__Lining:__ Recycled polyester and elastane blend
__Fit:__ Op triangle fit
Removable padding
Crossed back and adjustable straps
Plunging neckline on back
All-over printed design
Logo embroidery at middle back";261
EQWX403136;GCC6;COBIDJI BOTTOM (GCC6);;"__Fabric:__ Butter base recycled nylon elastane [170 g/m2]
__Lining:__ Polyester elastane blend lining
__Fit:__ Mid rise pant
Full bum coverage
All-over printed design
Embroidery on centre back";261
EQWX403136;WEG6;COBIDJI BOTTOM (WEG6);;"__Fabric:__ Butter base recycled nylon elastane [170 g/m2]
__Lining:__ Polyester elastane blend lining
__Fit:__ Mid rise pant
Full bum coverage
All-over printed design
Embroidery on centre back";261
EQWX403137;BJK6;CHAMPION SOUND  (BJK6);;"__Fabric:__ Butter base recycled nylon elastane [170 g/m2]
__Lining:__ Polyester elastane blend lining
__Fit:__ Classic fit
Full coverage bottoms
All-over printed design
Embroidery on centre back";261
EQWX303144;GCC6;COBIDJI TOP (GCC6);;"__Fabric:__ Butter base recycled nylon elastane [170 g/m2]
__Lining:__ Polyester elastane blend lining
__Fit:__ Brassiere fit
Removable soft cup padding
Adjustable back closure [3 sizes] 
All-over printed design
Quiksilver clamp label on chest

";261
EQWX303143;CMK3;CLICKITY CLACK  (CMK3);;"__Fabric:__ Recycled polyester Elastane [260 g/m2]
__Lining:__ Polyester elastane blend lining
__Fit:__ Classic triangle fit
Removable soft cup padding
Adjustable crossover back tie
Striped yarn-dyed
Quiksilver clamp label on chest

";261
EQWX103079;WEG6;AITON ONE PIECE (WEG6);;"__Fabric:__ Recycled nylon elastane [170 g/m2]
__Lining:__ Recycled polyester and elastane blend
__Fit:__ Op triangle fit
Removable padding
Crossed back and adjustable straps
Plunging neckline on back
All-over printed design
Logo embroidery at middle back";261
EQWX303145;BJK6;CHAMPION SOUND  (BJK6);;"__Fabric:__ Butter base recycled nylon elastane [170 g/m2]
__Lining:__ Polyester elastane blend lining
__Fit:__ Classic bralette fit
Removable soft cup padding
Adjustable shoulder straps
Adjustable back closure [3 sizes] 
Removable back straps
Front cup dart for bust fitting
All-over printed design
Logo embroidery at the front chest

";261
EQYJV04203;KVJ0;EVD CLICKER VL (KVJ0);;"__Use:__ Beach
BENEFITS
Durable. Comfortable. Quick-drying
MADE BETTER
Made with 45% recycled polyester fibres from textile waste and 45% from plastic bottles
PFC Free durable water repellent treatment
__Fabric:__ Everyday Fabric, Recycled polyester [125 g/m2]
FEATURES
__Fit:__ Straight leg fit
Timeless style
__Fly:__ No
__Waist:__ Elasticated waistband
__Outseam:__ 17"" outseam
__Closure:__Waisted Drawcord
__Pockets:__ Side-entry pockets
Back patch pocket
Iconic Clicker logo screen printed vertically on the left side panel
Key bungee cord inside pocket";261
EQYJV04127;YKM0;EVERYDAY (YKM0);;"__Coating:__ PFC FREE HYDROPHOBIC TREATMENT
__Fabric:__ Remade Supersuede: Keep the performance level high and the carbon footprint low
This product was made from production scraps and retired textile waste
a step closer to circular manufacturing
__Fit:__ Straight Leg
__Outseams:__ 15"" outseam
__Waist And Closure:__ Classic Comfort Waistband
Fixed drawcord closure
__Fly:__ No fly
__Zips And Pockets:__ Side-entry pockets, Back Hook and loop tape pocket
__Additional Details:__ Iconic Mountain and Wave Logo
Key bungee cord inside pocket
Recycled yarn
";261
EQYBS04897;KTP6;EVERYDAY (KTP6);;"__Fabric:__ 100% Recycled polyester fabric
Remade Supersuede: Keep the performance level high and the carbon footprint low
This product was made from production scraps and retired textile waste, a step closer to circular manufacturing
__Coating:__  PFC free hydrophobic treatment
__Fit:__ Straight leg fit
__Waist:__ Semi elasticated comfort waistband
__Closure:__ Fixed drawcord closure
__Fly:__ Functional velcro fly
__Outseams:__ 16"" outseam, short length
__Pockets:__ Side-entry pockets
Back hook and loop tape closure pocket
__Branding:__ Iconic mountain and wave logo
__Other Features:__ Timeless Style
Key bungee cord inside pocket
Recycled yarn
* Each garment may vary in appearance due to specialty wash.";261
EQYJV04127;BLC0;EVERYDAY (BLC0);;"__Coating:__ PFC FREE HYDROPHOBIC TREATMENT
__Fabric:__ Remade Supersuede: Keep the performance level high and the carbon footprint low
This product was made from production scraps and retired textile waste
a step closer to circular manufacturing
__Fit:__ Straight Leg
__Outseams:__ 15"" outseam
__Waist And Closure:__ Classic Comfort Waistband
Fixed drawcord closure
__Fly:__ No fly
__Zips And Pockets:__ Side-entry pockets, Back Hook and loop tape pocket
__Additional Details:__ Iconic Mountain and Wave Logo
Key bungee cord inside pocket
Recycled yarn
";261
EQYBS04897;BJK0;EVERYDAY (BJK0);;"__Fabric:__ 100% Recycled polyester fabric
Remade Supersuede: Keep the performance level high and the carbon footprint low
This product was made from production scraps and retired textile waste, a step closer to circular manufacturing
__Coating:__  PFC free hydrophobic treatment
__Fit:__ Straight leg fit
__Waist:__ Semi elasticated comfort waistband
__Closure:__ Fixed drawcord closure
__Fly:__ Functional velcro fly
__Outseams:__ 16"" outseam, short length
__Pockets:__ Side-entry pockets
Back hook and loop tape closure pocket
__Branding:__ Iconic mountain and wave logo
__Other Features:__ Timeless Style
Key bungee cord inside pocket
Recycled yarn
* Each garment may vary in appearance due to specialty wash.";261
EQBJV03513;NJZ0;DELUXE (NJZ0);;"__Fabric:__ 70% Recycled polyester 30% polyester blend fabric
__Waist:__ Elastic waist
__Closure:__ Drawcord closure
__Pockets:__ Side pockets 
__Outseams:__ 14"" outseam, short length
__Branding:__ Quiksilver patch logo on leg";261
EQYBS04897;KVJ6;EVERYDAY (KVJ6);;"__Fabric:__ 100% Recycled polyester fabric
Remade Supersuede: Keep the performance level high and the carbon footprint low
This product was made from production scraps and retired textile waste, a step closer to circular manufacturing
__Coating:__  PFC free hydrophobic treatment
__Fit:__ Straight leg fit
__Waist:__ Semi elasticated comfort waistband
__Closure:__ Fixed drawcord closure
__Fly:__ Functional velcro fly
__Outseams:__ 16"" outseam, short length
__Pockets:__ Side-entry pockets
Back hook and loop tape closure pocket
__Branding:__ Iconic mountain and wave logo
__Other Features:__ Timeless Style
Key bungee cord inside pocket
Recycled yarn
* Each garment may vary in appearance due to specialty wash.";261
EQYJV04221;CRE6;EVERYDAY (CRE6);;"__Use:__ Beach
BENEFITS
Durable. Comfortable. Quick-drying
MADE BETTER
Made with 45% recycled polyester fibres from textile waste and 45% from plastic bottles
PFC Free durable water repellent treatment
__Fabric:__ Everyday Fabric, Recycled polyester [125 g/m2]
FEATURES
__Fit:__ Straight leg fit
Timeless style
__Fly:__ No
__Waist:__ Elasticated waistband
__Outseam:__ 16"" outseam
__Closure:__Waisted Drawcord
__Pockets:__ Side-entry pockets
Back patch pocket
Iconic Mountain and Wave logo";261
EQYJV04101;KTP0;DELUXE 15 (KTP0);;"__Fabric:__ 70% Recycled polyester 30% polyester blend fabric
Remade Supersuede: Keep the performance level high and the carbon footprint low
This product was made from production scraps and retired textile waste, a step closer to circular manufacturing
__Waterproofing:__ Water repellent
__Coating:__  PFC free hydrophobic treatment
__Fit:__ Straight leg fit 
__Waist:__ Classic comfort waistband
__Closure:__ Fixed drawcord closure
__Fly:__ No fly
__Outseams:__ 15"" outseam, short length
__Pockets:__ Side-entry pockets
Back hook and loop tape pocket
Draining mesh pockets
__Branding:__ Iconic mountain & wave logo
__Other Features:__ Timeless Style
Key bungee cord inside pocket
Recycled yarn
Made Better";261
EQYJV04101;GRT0;DELUXE 15 (GRT0);;"__Fabric:__ 70% Recycled polyester 30% polyester blend fabric
Remade Supersuede: Keep the performance level high and the carbon footprint low
This product was made from production scraps and retired textile waste, a step closer to circular manufacturing
__Waterproofing:__ Water repellent
__Coating:__  PFC free hydrophobic treatment
__Fit:__ Straight leg fit 
__Waist:__ Classic comfort waistband
__Closure:__ Fixed drawcord closure
__Fly:__ No fly
__Outseams:__ 15"" outseam, short length
__Pockets:__ Side-entry pockets
Back hook and loop tape pocket
Draining mesh pockets
__Branding:__ Iconic mountain & wave logo
__Other Features:__ Timeless Style
Key bungee cord inside pocket
Recycled yarn
Made Better";261
EQYJV04101;NJZ0;DELUXE 15 (NJZ0);;"__Fabric:__ 70% Recycled polyester 30% polyester blend fabric
Remade Supersuede: Keep the performance level high and the carbon footprint low
This product was made from production scraps and retired textile waste, a step closer to circular manufacturing
__Waterproofing:__ Water repellent
__Coating:__  PFC free hydrophobic treatment
__Fit:__ Straight leg fit 
__Waist:__ Classic comfort waistband
__Closure:__ Fixed drawcord closure
__Fly:__ No fly
__Outseams:__ 15"" outseam, short length
__Pockets:__ Side-entry pockets
Back hook and loop tape pocket
Draining mesh pockets
__Branding:__ Iconic mountain & wave logo
__Other Features:__ Timeless Style
Key bungee cord inside pocket
Recycled yarn
Made Better";261
EQBBS03742;KTP7;EVD HALFJAM (KTP7);;"__Use:__ Surfing, Beach
BENEFITS
Durable. Comfortable. Quick-drying
MADE BETTER
Made with 45% recycled polyester fibres from textile waste and 45% from plastic bottles
PFC Free durable water repellent treatment
__Fabric:__ Everyday Fabric, Recycled polyester [125 g/m2]
FEATURES
__Fit:__ Straight leg fit
Timeless style
__Fly:__ Performance
__Waist:__ Semi elasticated
__Outseam:__ 17"" outseam
__Closure:__Drawcord
Hook and loop closure
__Pockets:__ Side-entry pockets
Back pocket with flap
Iconic Mountain and Wave logo
Key bungee cord inside pocket";261
EQKBS03433;KTP7;EVD HALF JAM (KTP7);;"__Use:__ Surfing, Beach
BENEFITS
Durable. Comfortable. Quick-drying
MADE BETTER
Made with 45% recycled polyester fibres from textile waste and 45% from plastic bottles
PFC Free durable water repellent treatment
__Fabric:__ Everyday Fabric, Recycled polyester [125 g/m2]
FEATURES
__Fit:__ Straight leg fit
Timeless style
__Fly:__ Performance
__Waist:__ Semi elasticated
__Outseam:__ 13"" outseam
__Closure:__Drawcord
Hook and loop closure
__Pockets:__ Side-entry pockets
Back pocket with flap
Iconic Mountain and Wave logo
Key bungee cord inside pocket";261
EQBBS03742;KVJ6;EVD HALFJAM (KVJ6);;"__Use:__ Surfing, Beach
BENEFITS
Durable. Comfortable. Quick-drying
MADE BETTER
Made with 45% recycled polyester fibres from textile waste and 45% from plastic bottles
PFC Free durable water repellent treatment
__Fabric:__ Everyday Fabric, Recycled polyester [125 g/m2]
FEATURES
__Fit:__ Straight leg fit
Timeless style
__Fly:__ Performance
__Waist:__ Semi elasticated
__Outseam:__ 17"" outseam
__Closure:__Drawcord
Hook and loop closure
__Pockets:__ Side-entry pockets
Back pocket with flap
Iconic Mountain and Wave logo
Key bungee cord inside pocket";261
EQYJV04221;KVJ6;EVERYDAY (KVJ6);;"__Use:__ Beach
BENEFITS
Durable. Comfortable. Quick-drying
MADE BETTER
Made with 45% recycled polyester fibres from textile waste and 45% from plastic bottles
PFC Free durable water repellent treatment
__Fabric:__ Everyday Fabric, Recycled polyester [125 g/m2]
FEATURES
__Fit:__ Straight leg fit
Timeless style
__Fly:__ No
__Waist:__ Elasticated waistband
__Outseam:__ 16"" outseam
__Closure:__Waisted Drawcord
__Pockets:__ Side-entry pockets
Back patch pocket
Iconic Mountain and Wave logo";261
EQYJV04101;RQZ0;DELUXE 15 (RQZ0);;"__Fabric:__ 70% Recycled polyester 30% polyester blend fabric
Remade Supersuede: Keep the performance level high and the carbon footprint low
This product was made from production scraps and retired textile waste, a step closer to circular manufacturing
__Waterproofing:__ Water repellent
__Coating:__  PFC free hydrophobic treatment
__Fit:__ Straight leg fit 
__Waist:__ Classic comfort waistband
__Closure:__ Fixed drawcord closure
__Fly:__ No fly
__Outseams:__ 15"" outseam, short length
__Pockets:__ Side-entry pockets
Back hook and loop tape pocket
Draining mesh pockets
__Branding:__ Iconic mountain & wave logo
__Other Features:__ Timeless Style
Key bungee cord inside pocket
Recycled yarn
Made Better";261
EQYJV04101;GNZ0;DELUXE 15 (GNZ0);;"__Fabric:__ 70% Recycled polyester 30% polyester blend fabric
Remade Supersuede: Keep the performance level high and the carbon footprint low
This product was made from production scraps and retired textile waste, a step closer to circular manufacturing
__Waterproofing:__ Water repellent
__Coating:__  PFC free hydrophobic treatment
__Fit:__ Straight leg fit 
__Waist:__ Classic comfort waistband
__Closure:__ Fixed drawcord closure
__Fly:__ No fly
__Outseams:__ 15"" outseam, short length
__Pockets:__ Side-entry pockets
Back hook and loop tape pocket
Draining mesh pockets
__Branding:__ Iconic mountain & wave logo
__Other Features:__ Timeless Style
Key bungee cord inside pocket
Recycled yarn
Made Better";261
EQYJV04101;BJK0;DELUXE 15 (BJK0);;"__Fabric:__ 70% Recycled polyester 30% polyester blend fabric
Remade Supersuede: Keep the performance level high and the carbon footprint low
This product was made from production scraps and retired textile waste, a step closer to circular manufacturing
__Waterproofing:__ Water repellent
__Coating:__  PFC free hydrophobic treatment
__Fit:__ Straight leg fit 
__Waist:__ Classic comfort waistband
__Closure:__ Fixed drawcord closure
__Fly:__ No fly
__Outseams:__ 15"" outseam, short length
__Pockets:__ Side-entry pockets
Back hook and loop tape pocket
Draining mesh pockets
__Branding:__ Iconic mountain & wave logo
__Other Features:__ Timeless Style
Key bungee cord inside pocket
Recycled yarn
Made Better";261
EQKBS03433;KVJ6;EVD HALF JAM (KVJ6);;"__Use:__ Surfing, Beach
BENEFITS
Durable. Comfortable. Quick-drying
MADE BETTER
Made with 45% recycled polyester fibres from textile waste and 45% from plastic bottles
PFC Free durable water repellent treatment
__Fabric:__ Everyday Fabric, Recycled polyester [125 g/m2]
FEATURES
__Fit:__ Straight leg fit
Timeless style
__Fly:__ Performance
__Waist:__ Semi elasticated
__Outseam:__ 13"" outseam
__Closure:__Drawcord
Hook and loop closure
__Pockets:__ Side-entry pockets
Back pocket with flap
Iconic Mountain and Wave logo
Key bungee cord inside pocket";261
EQYBS04897;CRE6;EVERYDAY (CRE6);;"__Fabric:__ 100% Recycled polyester fabric
Remade Supersuede: Keep the performance level high and the carbon footprint low
This product was made from production scraps and retired textile waste, a step closer to circular manufacturing
__Coating:__  PFC free hydrophobic treatment
__Fit:__ Straight leg fit
__Waist:__ Semi elasticated comfort waistband
__Closure:__ Fixed drawcord closure
__Fly:__ Functional velcro fly
__Outseams:__ 16"" outseam, short length
__Pockets:__ Side-entry pockets
Back hook and loop tape closure pocket
__Branding:__ Iconic mountain and wave logo
__Other Features:__ Timeless Style
Key bungee cord inside pocket
Recycled yarn
* Each garment may vary in appearance due to specialty wash.";261
EQYBS04897;SZH6;EVERYDAY (SZH6);;"__Fabric:__ 100% Recycled polyester fabric
Remade Supersuede: Keep the performance level high and the carbon footprint low
This product was made from production scraps and retired textile waste, a step closer to circular manufacturing
__Coating:__  PFC free hydrophobic treatment
__Fit:__ Straight leg fit
__Waist:__ Semi elasticated comfort waistband
__Closure:__ Fixed drawcord closure
__Fly:__ Functional velcro fly
__Outseams:__ 16"" outseam, short length
__Pockets:__ Side-entry pockets
Back hook and loop tape closure pocket
__Branding:__ Iconic mountain and wave logo
__Other Features:__ Timeless Style
Key bungee cord inside pocket
Recycled yarn
* Each garment may vary in appearance due to specialty wash.";261
EQYBS04897;KTP7;EVERYDAY (KTP7);;"__Fabric:__ 100% Recycled polyester fabric
Remade Supersuede: Keep the performance level high and the carbon footprint low
This product was made from production scraps and retired textile waste, a step closer to circular manufacturing
__Coating:__  PFC free hydrophobic treatment
__Fit:__ Straight leg fit
__Waist:__ Semi elasticated comfort waistband
__Closure:__ Fixed drawcord closure
__Fly:__ Functional velcro fly
__Outseams:__ 16"" outseam, short length
__Pockets:__ Side-entry pockets
Back hook and loop tape closure pocket
__Branding:__ Iconic mountain and wave logo
__Other Features:__ Timeless Style
Key bungee cord inside pocket
Recycled yarn
* Each garment may vary in appearance due to specialty wash.";261
EQYBS04897;BJK7;EVERYDAY (BJK7);;"__Fabric:__ 100% Recycled polyester fabric
Remade Supersuede: Keep the performance level high and the carbon footprint low
This product was made from production scraps and retired textile waste, a step closer to circular manufacturing
__Coating:__  PFC free hydrophobic treatment
__Fit:__ Straight leg fit
__Waist:__ Semi elasticated comfort waistband
__Closure:__ Fixed drawcord closure
__Fly:__ Functional velcro fly
__Outseams:__ 16"" outseam, short length
__Pockets:__ Side-entry pockets
Back hook and loop tape closure pocket
__Branding:__ Iconic mountain and wave logo
__Other Features:__ Timeless Style
Key bungee cord inside pocket
Recycled yarn
* Each garment may vary in appearance due to specialty wash.";261
EQYJV04127;MKT0;EVERYDAY (MKT0);;"__Coating:__ PFC FREE HYDROPHOBIC TREATMENT
__Fabric:__ Remade Supersuede: Keep the performance level high and the carbon footprint low
This product was made from production scraps and retired textile waste
a step closer to circular manufacturing
__Fit:__ Straight Leg
__Outseams:__ 15"" outseam
__Waist And Closure:__ Classic Comfort Waistband
Fixed drawcord closure
__Fly:__ No fly
__Zips And Pockets:__ Side-entry pockets, Back Hook and loop tape pocket
__Additional Details:__ Iconic Mountain and Wave Logo
Key bungee cord inside pocket
Recycled yarn
";261
EQYJV04203;KTP0;EVD CLICKER VL (KTP0);;"__Use:__ Beach
BENEFITS
Durable. Comfortable. Quick-drying
MADE BETTER
Made with 45% recycled polyester fibres from textile waste and 45% from plastic bottles
PFC Free durable water repellent treatment
__Fabric:__ Everyday Fabric, Recycled polyester [125 g/m2]
FEATURES
__Fit:__ Straight leg fit
Timeless style
__Fly:__ No
__Waist:__ Elasticated waistband
__Outseam:__ 17"" outseam
__Closure:__Waisted Drawcord
__Pockets:__ Side-entry pockets
Back patch pocket
Iconic Clicker logo screen printed vertically on the left side panel
Key bungee cord inside pocket";261
